Words,Translations,Times,Date,Class
a,"um, uma",1,2021-08-24,article
am,"sou, estou",1,2021-08-24,verb
an,"um, uma (som de vogal)",1,2021-08-24,article
are,"é, está, são, estão",1,2021-08-24,verb
be,"ser, estar",1,2021-08-24,verb
beautiful,"lindo, bonito",1,2021-08-24,adjective
beefy,"musculoso, corpulento",1,2021-08-29,adjective
blonde,loiro,1,2021-08-29,adjective
brand,marca,1,2021-08-30,noun
craning,"esticando, erguer",1,2021-08-29,verb
drill,broca,1,2021-08-29,noun
dumb,"burro, estúpido",1,2021-08-30,adjective
either,qualquer,1,2021-08-30,pronoun
even,"até, ainda",1,2021-08-29,adverb
fences,cercas,1,2021-08-29,noun
finer,"melhor, bom",1,2021-08-29,adjective
hardly any,quase nenhum,1,2021-08-29,conjuction
he,ele,1,2021-08-24,pronoun
her,"seu, sua, dela",1,2021-08-24,pronoun
his,"seu, sua, dele",2,2021-08-24,pronoun
how to create a chatbot,"a chatbot is simply an artificial intelligence (ai) able to simulate a conversation in a natural language using different platforms. how to create a chatbot? to create a chatbot, there are several steps that need to be followed. the first thing is to identify what type of chatbot you want to build and for what purpose. answers to this question will guide you through the whole process of creating the chatbot. next is choosing technology and either letting experts design it for you or choosing to design it yourself. different types of chatbots. chatbots are classified according to different parameters, namely intelligence, area for aplication, and platform. in terms of intelligence, there are two types of chatbots, smart or dumb, based on the scripts used to give responses. the two are identified as rule based and ai based bots. ai algorithms use machine learning to process inputs and give outputs. rule based bots allow users to pick answers themselves. area of application classifies chatbots into virtual sales representatives, custumer support and personal assistants. examples of these include apple siri and google meena. these chatbots feature voice control and develop as you use them. finally, chatbots can be distinguished based on the platform they are using, some platforms include the web, mobile apps, and messengers, among others. reason to create your own chatbot. recent happenings - include the pandemic - have shown the true uses of chatbots. they can easily replace help desks with no one around or during cloused hours. using chatbots can create an accessible and interactive brand. also, chatbots help brands mine user data by analaysing the inputs provided. these inputs can be used to optimize the online user experience and the chatbots responses. chatbots provide a streamlined way of managing internal workflows in the back-end. an example of this is jp morgan, which saved more than 360 hours reviewing loan contracts. however, for chatbots to be a successful solution, they should be able to effectively perform intended tasks. regardlees of the type, human intervention is crucial in the configuration and training of chatbot systems.",1,2021-08-30,text
husband,marido,1,2021-08-29,noun
i,eu,1,2021-08-24,pronoun
is,"é, está",1,2021-08-24,verb
it,"coisa, lugar, isso, isto",1,2021-08-24,pronoun
its,"seu(s), sua(s), dele, dela",1,2021-08-24,pronoun
my,"meu, minha, meus, minhas",1,2021-08-24,pronoun
nearly,"quase, por pouco",1,2021-08-29,adverb
neck,pescoço,1,2021-08-29,noun
nonsense,absurdo,1,2021-08-29,noun
our,nosso,1,2021-08-24,pronoun
pretend,fingir,1,2021-08-29,verb
proud,orgulhoso,1,2021-08-29,adjective
provide,"fornecer, proporcionar",2,2021-08-30,verb
several,vários,1,2021-08-29,adjective
she,ela,1,2021-08-24,pronoun
shudder,"estremecimento, tremor",1,2021-08-29,noun
spent,"gastou, passou (tempo)",1,2021-08-29,verb
spying,espionar,1,2021-08-29,verb
such,"tal, assim",1,2021-08-29,adjective
the,"a, as, o, os",1,2021-08-24,article
their,"seus, suas, deles, delas",1,2021-08-24,pronoun
they,eles,1,2021-08-24,pronoun
thin,"fino, magro",1,2021-08-29,adjective
you,você,1,2021-08-24,pronoun
your,"seu, sua, seus, suas",1,2021-08-24,pronoun
